Timestamp,Angle,Velocity_reconstructed,Phase_deg,Stage
565243,-33.002,15.957,144.267,4
565266,-32.404,38.096,124.238,4
565289,-31.336,58.097,109.803,4
565312,-29.842,74.77,99.522,4
565336,-27.989,87.136,91.77,4
565359,-25.865,94.486,85.439,3
565382,-23.584,96.475,79.808,3
565405,-21.282,93.233,74.36,3
565428,-19.103,85.425,68.657,3
565452,-17.177,74.22,62.249,3
565475,-15.59,61.14,54.639,3
565498,-14.371,47.838,45.383,3
565521,-13.491,35.831,34.515,3
565544,-12.875,26.268,23.239,3
565567,-12.425,19.79,13.86,3
565590,-12.045,16.509,8.237,3
565613,-11.655,16.096,6.583,3
565636,-11.209,17.948,7.828,3
565659,-10.685,21.365,10.535,3
565682,-10.084,25.674,13.539,3
565705,-9.415,30.282,16.132,3
565728,-8.686,34.633,17.942,3
565751,-7.904,38.132,18.732,3
565774,-7.076,40.066,18.259,3
565797,-6.221,39.6,16.195,3
565820,-5.38,35.876,12.082,3
565843,-4.623,28.209,5.322,3
565866,-4.044,16.351,-4.69,2
565889,-3.749,0.738,-18.012,2
565912,-3.83,-17.366,-33.261,2
565935,-4.344,-35.895,-47.777,2
565958,-5.296,-52.227,-59.483,2
565981,-6.624,-63.636,-67.855,2
566004,-8.209,-67.875,-73.17,2
566027,-9.877,-63.761,-75.571,2
566050,-11.425,-51.631,-74.35,2
566073,-12.646,-33.505,-66.514,2
566096,-13.369,-12.865,-43.613,2
566119,-13.511,5.963,-5.737,2
566142,-13.115,18.733,14.949,3
566165,-12.367,22.302,16.796,3
566188,-11.566,15.512,5.554,3
566211,-11.046,-0.333,-18.964,2
566234,-11.079,-21.566,-48.953,2
566257,-11.79,-42.843,-70.403,2
566280,-13.114,-58.319,-82.83,2
566303,-14.814,-63.026,-90.079,1
566326,-16.537,-54.135,-94.05,1
566349,-17.89,-31.791,-93.472,1
566372,-18.519,0.713,-9.607,2
566395,-18.185,37.493,59.934,3
566423,-16.821,71.261,60.747,3
566446,-14.571,94.913,57.894,3
566469,-11.783,103.151,52.99,3
566492,-8.956,93.75,45.288,3
566515,-6.63,68.135,32.268,3
566538,-5.259,31.105,8.438,3
566561,-5.097,-10.251,-28.103,2
566585,-6.134,-48.179,-58.85,2
566608,-8.102,-75.992,-75.952,2
566631,-10.552,-89.492,-85.305,2
566654,-12.98,-87.704,-90.575,1
566677,-14.952,-72.803,-92.882,1
566700,-16.205,-49.29,-91.193,1
566723,-16.687,-22.715,-77.578,2
566746,-16.528,1.688,-11.041,2
566769,-15.96,20.084,31.86,3
566792,-15.233,30.607,38.668,3
566815,-14.54,33.372,37.357,3
566838,-13.985,30.009,31.829,3
566861,-13.589,22.968,22.469,3
566884,-13.32,14.809,9.85,3
566907,-13.131,7.67,-3.191,2
566930,-12.982,2.992,-12.425,2
566953,-12.847,1.473,-15.477,2
566976,-12.704,3.191,-12.295,2
566999,-12.525,7.778,-4.22,2
567022,-12.27,14.575,6.12,3
567045,-11.887,22.74,15.668,3
567068,-11.33,31.31,22.6,3
567091,-10.571,39.265,26.619,3
567114,-9.612,45.613,28.106,3
567137,-8.493,49.51,27.512,3
567160,-7.287,50.403,25.164,3
567183,-6.079,48.153,21.285,3
567206,-4.957,43.094,16.093,3
567229,-3.995,35.994,9.923,3
567252,-3.238,27.915,3.318,3
567275,-2.704,19.988,-3.012,2
567298,-2.378,13.156,-8.402,2
567321,-2.221,7.951,-12.473,2
567344,-2.176,4.373,-15.258,2
567367,-2.185,1.91,-17.174,2
567390,-2.204,-0.28,-18.882,2
567413,-2.215,-3.072,-21.063,2
567436,-2.236,-7.029,-24.148,2
567459,-2.312,-12.118,-28.105,2
567482,-2.502,-17.597,-32.383,2
567505,-2.853,-22.12,-36.054,2
567528,-3.376,-24.09,-38.043,2
567552,-4.022,-22.16,-37.26,2
567575,-4.679,-15.769,-32.664,2
567598,-5.188,-5.528,-23.795,2
567621,-5.387,6.692,-12.279,2
567644,-5.174,18.028,-2.203,2
567667,-4.568,25.235,2.976,3
567690,-3.729,25.474,2.125,3
567713,-2.929,17.074,-5.028,2
567737,-2.478,0.056,-18.616,2
567760,-2.632,-23.739,-37.026,2
567783,-3.524,-50.941,-55.606,2
567807,-5.141,-77.306,-70.395,2
567830,-7.342,-98.551,-80.921,2
567853,-9.912,-111.21,-88.339,2
567876,-12.614,-113.318,-93.814,1
567899,-15.224,-104.811,-98.223,1
567922,-17.547,-87.568,-102.285,1
567945,-19.427,-65.089,-106.808,1
567968,-20.754,-41.859,-113.18,1
567991,-21.497,-22.473,-124.461,1
568014,-21.73,-10.684,-143.373,1
568037,-21.65,-8.566,-148.339,1
568060,-21.556,-15.981,-131.153,1
568083,-21.775,-30.539,-122.502,1
568106,-22.56,-48.093,-121.347,1
568129,-23.994,-63.704,-123.451,1
568153,-25.947,-72.829,-127.565,1
568176,-28.104,-72.444,-133.736,1
568199,-30.071,-61.766,-142.923,1
568222,-31.491,-42.38,-157.266,1
568245,-32.146,-17.744,-179.663,1
568268,-32.003,7.779,151.867,4
568291,-31.194,30.066,127.795,4
568314,-29.954,46.212,112.56,4
568337,-28.545,55.095,103.589,4
568360,-27.177,57.385,98.29,4
568383,-25.974,55.067,95.117,4
568406,-24.956,50.657,92.988,4
568434,-24.066,46.387,90.891,4
568457,-23.204,43.598,87.889,3
568480,-22.278,42.513,83.514,3
568503,-21.24,42.407,77.963,3
568527,-20.104,42.074,71.715,3
568550,-18.942,40.402,65.018,3
568573,-17.857,36.864,57.761,3
568596,-16.944,31.765,49.676,3
568619,-16.254,26.179,40.87,3
568642,-15.777,21.617,32.653,3
568665,-15.442,19.517,27.632,3
568688,-15.138,20.731,27.488,3
568711,-14.748,25.158,30.733,3
568734,-14.181,31.619,34.191,3
568757,-13.402,38.023,35.753,3
568780,-12.444,41.792,34.612,3
568803,-11.406,40.445,30.106,3
568826,-10.443,32.216,20.644,3
568849,-9.742,16.558,2.835,3
568872,-9.482,-5.561,-25.827,2
568895,-9.807,-31.674,-55.655,2
568918,-10.788,-58.137,-75.611,2
